index_date,crude_steel_(thousand_ton),pig_iron_(thousand_ton)
2013-06-01,2904.42947677866,2180.39796616725
2013-07-01,2801.75934866714,2154.55624196712
2013-08-01,2872.30755680607,2211.59555962994
2013-09-01,2959.48406891659,2224.37138234428
2013-10-01,2794.81373530728,2107.74091863659
2013-11-01,2846.37772126439,2119.66341930571
2013-12-01,2805.68064658097,2166.42972768875
2014-01-01,2825.1330455598,2142.67244587327
2014-02-01,2816.69178216517,2151.30625523876
2014-03-01,2897.71715980047,2207.2445319672
2014-04-01,2740.06021214224,2094.02237657045
2014-05-01,2811.67470814507,2177.94757229642
2014-06-01,2798.62556938736,2264.16289613335
2014-07-01,2865.68332918933,2302.20839668888
2014-08-01,2856.24344941938,2341.48460056792
2014-09-01,2837.73601643258,2399.84237496811
2014-10-01,2856.71963072743,2294.32085677294
2014-11-01,2766.58787112174,2204.99043369378
2014-12-01,2811.37216963187,2410.34700224991
2015-01-01,3047.42101059687,2537.71569981538
2015-02-01,2859.33067416478,2389.66676094006
2015-03-01,2703.58613504762,2256.6868902709
2015-04-01,2875.60083462461,2399.7684625584
2015-05-01,2911.70538803006,2458.63385734415
2015-06-01,2862.5794166626,2400.99964296726
2015-07-01,2785.08551323255,2324.09651351922
2015-08-01,2682.85836434353,2274.36463950136
2015-09-01,2454.66752889165,2187.12460213393
2015-10-01,2775.02347569013,2303.09908309631
2015-11-01,2630.25460254257,2194.40473167087
2015-12-01,2661.46836495934,2244.05715947385
2016-01-01,2545.28654956546,2148.76673285032
2016-02-01,2647.75854460485,2160.92446610211
2016-03-01,2484.1504575086,2082.20346382763
2016-04-01,2302.24369241509,1881.15133695605
2016-05-01,2555.54264049435,2131.01526845962
2016-06-01,2666.26493903636,2209.68243025041
2016-07-01,2761.10398839247,2318.89249762017
2016-08-01,2842.38502896452,2316.05325829926
2016-09-01,2744.54494342578,2278.51253006189
2016-10-01,2759.6943920438,2337.7766942009
2016-11-01,2720.63778714936,2322.12772815531
2016-12-01,2599.8834504749,2152.78445720248
2017-01-01,2878.83223663804,2300.7599462474
