index_date,crude_steel_(thousand_ton)_observed,crude_steel_(thousand_ton)_fitted,crude_steel_(thousand_ton)_predicted,std_error,ci_95_lower,ci_95_upper
2013-02-01,2776.68146508022,2843.7663954614013,,,,
2013-03-01,2755.74565637082,2747.2145706135534,,,,
2013-04-01,2879.72418799015,2885.949970679575,,,,
2013-05-01,2924.2355089261,2871.0013849591433,,,,
2013-06-01,2904.42947677866,2841.073208401548,,,,
2013-07-01,2801.75934866714,2843.6583933436973,,,,
2013-08-01,2872.30755680607,2860.719943219939,,,,
2013-09-01,2959.48406891659,2877.7521738919986,,,,
2013-10-01,2794.81373530728,2815.883238462879,,,,
2013-11-01,2846.37772126439,2803.723112623252,,,,
2013-12-01,2805.68064658097,2863.88580840365,,,,
2014-01-01,2825.1330455598,2805.6900021305414,,,,
2014-02-01,2816.69178216517,2825.5650727607235,,,,
2014-03-01,2897.71715980047,2865.6800646124384,,,,
2014-04-01,2740.06021214224,2782.1982347916883,,,,
2014-05-01,2811.67470814507,2826.983457238639,,,,
2014-06-01,2798.62556938736,2894.676114145528,,,,
2014-07-01,2865.68332918933,2877.3803530463806,,,,
2014-08-01,2856.24344941938,2913.413109294516,,,,
2014-09-01,2837.73601643258,2935.411688854491,,,,
2014-10-01,2856.71963072743,2797.708550935568,,,,
2014-11-01,2766.58787112174,2760.770510012205,,,,
2014-12-01,2811.37216963187,2936.2147929112266,,,,
2015-01-01,3047.42101059687,2978.2890329339684,,,,
2015-02-01,2859.33067416478,2897.037172175283,,,,
2015-03-01,2703.58613504762,2756.060914178333,,,,
2015-04-01,2875.60083462461,2854.054350203993,,,,
2015-05-01,2911.70538803006,2920.8911260896016,,,,
2015-06-01,2862.5794166626,2863.7826255371547,,,,
2015-07-01,2785.08551323255,2795.8359902872185,,,,
2015-08-01,2682.85836434353,2746.014169927822,,,,
2015-09-01,2454.66752889165,2637.3429990057443,,,,
2015-10-01,2775.02347569013,2648.3262891351546,,,,
2015-11-01,2630.25460254257,2639.7754253157186,,,,
2015-12-01,2661.46836495934,2668.1865178673734,,,,
2016-01-01,2545.28654956546,2580.2822012180814,,,,
2016-02-01,2647.75854460485,2572.1764592363415,,,,
2016-03-01,2484.1504575086,2546.217209093379,,,,
2016-04-01,2302.24369241509,2331.6933770067662,,,,
2016-05-01,2555.54264049435,2536.9053855768743,,,,
2016-06-01,2666.26493903636,2618.119200118911,,,,
2016-07-01,2761.10398839247,2735.9797228093157,,,,
2016-08-01,2842.38502896452,2740.4830734847665,,,,
2016-09-01,2744.54494342578,2756.2893291180253,,,,
2016-10-01,2759.6943920438,2788.919903788157,,,,
2016-11-01,2720.63778714936,2757.6557983384196,,,,
2016-12-01,2599.8834504749,2593.2457950969256,,,,
2017-01-01,2878.83223663804,2728.283273493249,,,,
2017-02-01,2800.20660945329,2795.989498130303,,,,
2017-03-01,2862.36037309358,2838.999273786383,,,,
2017-04-01,2908.75321595511,2915.448774575494,,,,
